name,team_name,game_date,season,espn_player_id,team_id,espn_game_id,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_type,shot_distance,opponent,x,y,shot_key
Goran Dragic,Miami Heat,11/12/17,2017,3423,1610612748,400974940,1,5,7,1,Driving Layup Shot,2PT Field Goal,1,Detroit Pistons,1,16,400974940157
Goran Dragic,Miami Heat,2/9/18,2017,3423,1610612748,400975567,1,5,54,0,Driving Layup Shot,2PT Field Goal,0,Milwaukee Bucks,-5,8,4009755671554
Carmelo Anthony,Oklahoma City Thunder,12/29/17,2017,1975,1610612760,400975272,1,4,46,1,Driving Layup Shot,2PT Field Goal,1,Milwaukee Bucks,2,11,4009752721446
Goran Dragic,Miami Heat,2/3/18,2017,3423,1610612748,400975522,3,4,30,1,Driving Layup Shot,2PT Field Goal,1,Detroit Pistons,-3,16,4009755223430
Goran Dragic,Miami Heat,2/7/18,2017,3423,1610612748,400975552,2,2,3,1,Driving Layup Shot,2PT Field Goal,9,Houston Rockets,-91,36,400975552223
James Harden,Houston Rockets,2/3/18,2017,3992,1610612745,400975525,1,8,16,1,Driving Layup Shot,2PT Field Goal,1,Cleveland Cavaliers,1,10,4009755251816
LeBron James,Cleveland Cavaliers,3/28/18,2017,1966,1610612739,400975862,4,3,30,0,Driving Layup Shot,2PT Field Goal,2,Charlotte Hornets,-13,16,4009758624330
LeBron James,Cleveland Cavaliers,3/30/18,2017,1966,1610612739,400975877,1,0,35,0,Driving Layup Shot,2PT Field Goal,4,New Orleans Pelicans,40,15,4009758771035
James Harden,Houston Rockets,12/29/17,2017,3992,1610612745,400975267,3,10,59,1,Driving Layup Shot,2PT Field Goal,1,Washington Wizards,-14,5,40097526731059
Giannis Antetokounmpo,Milwaukee Bucks,12/4/17,2017,3032977,1610612749,400975094,1,9,9,0,Driving Layup Shot,2PT Field Goal,3,Boston Celtics,-27,16,400975094199
James Harden,Houston Rockets,2/7/18,2017,3992,1610612745,400975552,1,4,41,1,Driving Layup Shot,2PT Field Goal,1,Miami Heat,-13,5,4009755521441
LeBron James,Cleveland Cavaliers,2/3/18,2017,1966,1610612739,400975525,2,2,39,0,Driving Layup Shot,2PT Field Goal,0,Houston Rockets,-1,6,4009755252239
LeBron James,Cleveland Cavaliers,2/7/18,2017,1966,1610612739,400975553,5,0,24,1,Driving Layup Shot,2PT Field Goal,0,Minnesota Timberwolves,3,6,4009755535024
Goran Dragic,Miami Heat,11/10/17,2017,3423,1610612748,400974926,3,2,42,1,Driving Layup Shot,2PT Field Goal,2,Utah Jazz,-19,7,4009749263242
LeBron James,Cleveland Cavaliers,12/21/17,2017,1966,1610612739,400975217,2,1,58,1,Driving Layup Shot,2PT Field Goal,0,Chicago Bulls,0,6,4009752172158
Goran Dragic,Miami Heat,2/9/18,2017,3423,1610612748,400975567,1,5,29,0,Driving Layup Shot,2PT Field Goal,1,Milwaukee Bucks,-9,6,4009755671529
LeBron James,Cleveland Cavaliers,2/7/18,2017,1966,1610612739,400975553,3,7,16,1,Driving Layup Shot,2PT Field Goal,0,Minnesota Timberwolves,3,9,4009755533716
Giannis Antetokounmpo,Milwaukee Bucks,2/9/18,2017,3032977,1610612749,400975567,4,0,13,1,Driving Layup Shot,2PT Field Goal,1,Miami Heat,-10,17,4009755674013
DeMarcus Cousins,New Orleans Pelicans,1/16/18,2017,4258,1610612740,400975396,5,4,18,1,Driving Layup Shot,2PT Field Goal,0,Boston Celtics,-3,-1,4009753965418
James Harden,Houston Rockets,2/9/18,2017,3992,1610612745,400975569,2,0,33,1,Driving Layup Shot,2PT Field Goal,0,Denver Nuggets,-3,8,4009755692033
James Harden,Houston Rockets,11/12/17,2017,3992,1610612745,400974941,1,1,59,0,Driving Layup Shot,2PT Field Goal,2,Indiana Pacers,1,24,4009749411159
DeMarcus Cousins,New Orleans Pelicans,10/18/17,2017,4258,1610612740,400974704,3,10,27,0,Driving Layup Shot,2PT Field Goal,2,Memphis Grizzlies,13,16,40097470431027
James Harden,Houston Rockets,12/29/17,2017,3992,1610612745,400975267,3,4,44,0,Driving Layup Shot,2PT Field Goal,9,Washington Wizards,-7,99,4009752673444
LeBron James,Cleveland Cavaliers,2/9/18,2017,1966,1610612739,400975565,1,9,54,1,Driving Layup Shot,2PT Field Goal,1,Atlanta Hawks,2,15,4009755651954
Kentavious CaldwellPope,Los Angeles Lakers,4/4/18,2017,2581018,1610612747,400975920,4,9,56,1,Driving Layup Shot,2PT Field Goal,1,San Antonio Spurs,-10,15,4009759204956
LeBron James,Cleveland Cavaliers,2/9/18,2017,1966,1610612739,400975565,2,0,1,0,Driving Layup Shot,2PT Field Goal,3,Atlanta Hawks,-14,37,400975565201
DeMarcus Cousins,New Orleans Pelicans,12/29/17,2017,4258,1610612740,400975271,4,11,19,0,Driving Layup Shot,2PT Field Goal,1,Dallas Mavericks,18,5,40097527141119
LeBron James,Cleveland Cavaliers,3/5/18,2017,1966,1610612739,400975696,2,1,35,1,Driving Layup Shot,2PT Field Goal,1,Detroit Pistons,-1,17,4009756962135
James Harden,Houston Rockets,11/12/17,2017,3992,1610612745,400974941,1,1,44,1,Driving Layup Shot,2PT Field Goal,1,Indiana Pacers,-2,13,4009749411144
Giannis Antetokounmpo,Milwaukee Bucks,12/13/17,2017,3032977,1610612749,400975161,4,6,9,0,Driving Layup Shot,2PT Field Goal,2,New Orleans Pelicans,29,7,400975161469
Kentavious CaldwellPope,Los Angeles Lakers,2/8/18,2017,2581018,1610612747,400975562,3,8,40,1,Driving Layup Shot,2PT Field Goal,0,Oklahoma City Thunder,-7,6,4009755623840
Giannis Antetokounmpo,Milwaukee Bucks,11/30/17,2017,3032977,1610612749,400975067,4,8,58,0,Driving Layup Shot,2PT Field Goal,1,Portland Trail Blazers,-2,18,4009750674858
Steven Adams,Oklahoma City Thunder,12/3/17,2017,2991235,1610612760,400975088,1,10,58,0,Driving Layup Shot,2PT Field Goal,1,San Antonio Spurs,-7,16,40097508811058
LeBron James,Cleveland Cavaliers,2/9/18,2017,1966,1610612739,400975565,2,8,36,1,Driving Layup Shot,2PT Field Goal,1,Atlanta Hawks,4,11,4009755652836
Arron Afflalo,Orlando Magic,2/8/18,2017,3187,1610612753,400975557,2,9,9,0,Driving Layup Shot,2PT Field Goal,3,Atlanta Hawks,30,25,400975557299
James Harden,Houston Rockets,11/11/17,2017,3992,1610612745,400974931,2,0,42,1,Driving Layup Shot,2PT Field Goal,0,Memphis Grizzlies,-2,8,4009749312042
Giannis Antetokounmpo,Milwaukee Bucks,12/13/17,2017,3032977,1610612749,400975161,4,2,47,1,Driving Layup Shot,2PT Field Goal,2,New Orleans Pelicans,-23,12,4009751614247
Channing Frye,Cleveland Cavaliers,12/2/17,2017,2754,1610612739,400975080,2,8,54,1,Driving Layup Shot,2PT Field Goal,5,Memphis Grizzlies,47,33,4009750802854
James Harden,Houston Rockets,12/3/17,2017,3992,1610612745,400975089,1,3,47,1,Driving Layup Shot,2PT Field Goal,1,Los Angeles Lakers,-13,15,4009750891347
Carmelo Anthony,Oklahoma City Thunder,2/2/18,2017,1975,1610612760,400975518,1,7,10,1,Driving Layup Shot,2PT Field Goal,3,New Orleans Pelicans,25,27,4009755181710
Pau Gasol,San Antonio Spurs,10/29/17,2017,996,1610612759,400974837,2,9,14,1,Driving Layup Shot,2PT Field Goal,0,Indiana Pacers,-7,4,4009748372914
Giannis Antetokounmpo,Milwaukee Bucks,3/30/18,2017,3032977,1610612749,400975882,1,8,35,1,Driving Layup Shot,2PT Field Goal,1,Los Angeles Lakers,5,16,4009758821835
Goran Dragic,Miami Heat,12/3/17,2017,3423,1610612748,400975086,3,1,31,0,Driving Layup Shot,2PT Field Goal,1,Golden State Warriors,-12,8,4009750863131
James Harden,Houston Rockets,2/3/18,2017,3992,1610612745,400975525,1,5,5,1,Driving Layup Shot,2PT Field Goal,0,Cleveland Cavaliers,2,5,400975525155
James Harden,Houston Rockets,12/3/17,2017,3992,1610612745,400975089,4,4,44,1,Driving Layup Shot,2PT Field Goal,3,Los Angeles Lakers,-13,31,4009750894444
Stephen Curry,Golden State Warriors,1/20/18,2017,3975,1610612744,400975425,1,5,8,0,Driving Layup Shot,2PT Field Goal,0,Houston Rockets,3,5,400975425158
Kevin Durant,Golden State Warriors,12/3/17,2017,3202,1610612744,400975086,1,2,24,0,Driving Layup Shot,2PT Field Goal,0,Miami Heat,3,2,4009750861224
LeBron James,Cleveland Cavaliers,12/8/17,2017,1966,1610612739,400975120,3,2,18,0,Driving Layup Shot,2PT Field Goal,1,Indiana Pacers,10,5,4009751203218
